ExtractedSurname
"I, Mazelin"
Borntreger
Miller
"Elam, Smucker"
"Emanuel, Shetler"
Gingerich
"Danny, Byler"
NORTH
"Calvin, Yoder"
Troyer
Otto
Byler
"Jacob, Stoltzfus"
DIST
Zook
"Freeman, Miller"
"Rudy, Petersheim"
Mast
Yoder
"Almon, Mast"
"Paul, Sensenig"
"Reuben, Brenneman"
"Luther, Stauffer"
Wengerds
"Jerry, Girod"
"Dave, Schwartz"
Stoltzfus
"Levi, Fisher"
"Ammon, Esh"
"Reuben, Stoltzfoos"
"Ray, Imhoff"
"Joe, Stoltzfus"
Lengacher
Shetler
"Henry, King"
BLOSSERS
Schmucker
Esh
"Keith, Imhoff"
Lapp
Peachey
"Shem, Kanagy"
Detweiler
"Ammon, Miller"
Girod
Farmwald
"Larry, Hostetler"
"Ammon, Lavina"
"C., Yoder"
"Ivan, Martin"
"Elam, King"
"Gideon, Hertzler"
Herschberger
"Ezra, Yoder"
"Enos, Detweiler"
Helmuth
Nolt
"Robert, Mast"
Hershberger
Keim
"Eli, Miller"
"SR, Oberholtzer"
Raber
"Joni, Bontrager"
Eicher
"Leroy, Beachy"
Lambright
"Albert, Yoder"
"Moses, Borntreger"
Freys
"Marvin, Martin"
"Mahlon, Stutzman"
"Aaron, Miller"
"Calvin, Hohstetler"
"Pete, Yoder"
MaryAnn
Bontreger
"Eli, Yoder"
"Melvin, Miller"
Schwartz
"Jacob, Stutzman"
"David, Schmucker"
"John, Millie"
"Daniel, Miller"
"Rudy, Miller"
"Henry, Stoltzfus"
"David, Fisher"
"Christ, Fisher"
Slabaugh
Shirk
"John, Stoltzfus"
"Raymond, Beachy"
"Sylvan, Stauffer"
"Eddie, Ramer"
Martin
"Mose, Miller"
"Sam, Borntrager"
Hilty
"John, Byler"
"Joas, Troyer"
Hostetler
"Enos, Troyer"
Zimmerman
"John, Hoover"
Fisher
"Ben, Yoder"
"Raymond, Yoder"
"Albert, Shirk"
Cora
"Nate, Peachey"
"Andy, Byler"
"Stephen, Richl"
"Sam, Yoder"
"Elton, Brubaker"
"Bennie, King"
"Mose, Yoder"
"Uria, Miller"
Kulp
"Dirk, Brubaker"
"Jonas, Swartz"
"Jake, Girod"
"Caleb, Weaver"
"Lawrence, Martin"
"Gideon, Swarey"
"Jesse, Yoder"
"Mike, Stauffer"
Eli
Kurtz
"Shawn, Stauffer"
"Chris, Glick"
"A, Kempf"
"Lavern, Gingerich"
Graber
Ramer
Bontrager
Troyers
"LeRoy, Yoder"
"John, Kanagy"
"Marvin, Byler"
"Levi, Miller"
"David, Yoder"
"William, Byler"
"Dan, Stutzman"
"Mark, Zimmerman"
"Daniel, Shetler"
"Lewis, Shetler"
II
"Matthew, Yoder"
"Floyd, Beechy"
"Robert, Bender"
Millers
"Daniel, Yoder"
"Roman, Borntrager"
"James, Brubacher"
"Rudy, Mast"
Swartzentruber
"Joni, Yoder"
Mullet
"Junior, Kauffman"
Wagler
Yutzy
Stutzman
"Robert, S."
"Enos, Yoder"
"Elmer, Yoder"
"Lester, Stauffer"
"Daniel, Zimmerman"
Family
Borntrager
Lee
"Elmer, Shirk"
"Jake, Eicher"
Priscilla
"Reuben, Schwartz"
"Daniel, Gingerich"
"Henry, Byler"
"Elmer, Borntreger"
"Lamar, Reiff"
"Jacob, Glick"
"Jr., Miller"
"Samuel, Yoder"
family
"Mose, Mullet"
Waglers
"Ammon, Gingerich"
"Emanuel, Schwartz"
Yoders
"Matthew, Brubaker"
"Peter, Schwartz"
"VERNON, MO"
"Vernon, Bontrager"
"Christ, Hershberger"
"Clyde, Wengerd"
Rissler
"Jonathan, Zimmerman"
"M., Borntrager"
"Leroy, Yoder"
Hochstetler's
Coblentz
"Orva, Yoder"
"Jonas, Yoder"
Hochstetler
"Noah, Elizabeth"
Hostetlers
"Phares, Martin"
"Mosie, Shetler"
"Daniel, Troyer"
"Warren, Brubacher"
Horning
Hertzler
"J, Wengerd"
Wengerd
"David, Troyer"
"Andy, Slabaugh"
"Nevin, Martin"
"Ray, Nolt"
"Leroy, Hurst"
Bylers
"John, Mary"
"Enos, Byler"
"Ray, Fisher"
"Anthony, Weaver"
Swartzentrubers
"Leon, Brubacher"
"Lester, Byler"
"Ben, Esh"
"Jacob, Mast"
"Ervin, Fisher"
"Allen, Hurst"
"Amos, Lapp"
"Joseph, Hertzler"
"Kevin, Brubaker"
"Earl, Hochstetler"
"Christian, Wengerd"
"David, Byler"
"Emanuel, Miller"
"Samuel, Z"
"Ira, Hoover"
"Harvey, Zimmerman"
Slabaughs
Hershberger's
Shetlers
"Sylvanus, Kanagy"
"Elam, Zimmerman"
"Aaron, Mast"
"Edward, Weaver"
"Aaron, Yoder"
Horst
"Chris, Wengerd"
"Joe, Miller"
Shetler's
"Noah, Yoder"
DISTRICT
"Abe, Troyer"
"Ammon, Wenger"
"Enos, Peachey"
"Bill, Byler"
"Mose, Schwartz"
"Marty, Yoder"
"Mahlon, Slabaugh"
Joe
"Mark, Hershberger"
(Ida)
"Benuel, Yoder"
"John, Shetler"
"Josie, Shetler"
"Marvin, Glick"
"David, Hostetler"
Schrock
"Ivan, Rachel"
Herschbergers
"Stanley, Nolt"
"Ivan, Zimmerman"
Bender
"Marty, Byler"
"Ivan, Peachey"
"Ura, Gingerich"
Barb
"Andrew, Miller"
"Allen, Fry"
(Esther)
"Matt, Mast"
Stutzmans
